Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Percentage growth,-100,1.53731,10.7321,8.58142,1.34084,-2.17999,-1.19882,-6.33556,-8.18001,72.9263,-27.8262,-5.85066,21.2767,29.0875,13.5929,-4.4416,10.1374,-11.8584,-2.55736,16.1586,31.5248,5.77538,-8.19837,9.202,4.71304,5.16061,2.81881,7.97738,5.25459,4.32799,3.61805,3.269,2.82692,2.34379,2.19798,1.53987,0.873688,3.45218
Local currency in bn,69.19,70.2537,77.7934,84.4692,85.6018,83.7357,82.7318,77.4903,71.1516,123.04,88.8025,83.607,101.396,130.889,148.681,142.077,156.48,137.924,134.397,156.113,205.328,217.186,199.38,217.727,227.989,239.755,246.513,266.178,280.165,292.29,302.866,312.766,321.608,329.146,336.38,341.56,344.544,356.439
US$ in bn,0.140178,0.142333,0.157609,0.171134,0.173428,0.169648,0.167614,0.156995,0.144152,0.249277,0.179913,0.169387,0.205427,0.26518,0.301226,0.287847,0.317027,0.279433,0.272286,0.316284,0.415992,0.440017,0.403943,0.441114,0.461904,0.485741,0.499433,0.539275,0.567611,0.592177,0.613603,0.633662,0.651575,0.666846,0.681503,0.691998,0.698043,0.722141
Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),60.8731,88.9389,85.3412,77.8653,88.2199,99.7878,210.1,172.679,232.061,332.237,360.511,371.637,415.504,515.083,495.15,451.692,448.188,487.178,528.906,611.921,594.107,542.265,610.16,670.326,672.889,650.025,677.496,732.909,805.048,868.43,942.057,1024.34,1095.86,1163.77,1237.69,1318.17,1403.37,1501.87
Percentage of GDP,1.9929,2.86023,2.90306,2.63218,2.99172,3.387,4.93655,3.46209,4.18264,4.86124,4.78061,4.80517,5.44545,6.27798,5.75375,5.07736,5.12479,5.406,5.85507,6.48242,5.69871,4.98373,5.37481,5.90075,5.34039,4.60156,4.38587,4.32944,4.34629,4.27585,4.2292,4.21194,4.17126,4.12472,4.08301,4.04526,4.00381,3.97114
US$ in bn (Nominal),0.204375,0.278796,0.313443,0.27601,0.333295,0.352408,0.378415,0.345946,0.453643,0.56922,0.611087,0.603601,0.583589,0.702667,0.710412,0.777171,0.848376,0.923613,1.01151,1.27678,1.3267,1.1484,1.23195,1.42057,1.31802,1.31573,1.37259,1.31267,1.40812,1.49329,1.60043,1.73322,1.84682,1.95345,2.07232,2.20354,2.34222,2.50261
Percentage growth,-100,47.755,0.391052,-9.2944,13.3752,27.9141,45.9993,-25.9604,30.6416,22.8747,2.71946,2.34221,8.07883,15.4281,-9.87901,-12.9558,2.17769,7.30277,9.94885,12.6687,-9.85429,-9.70316,10.0236,4.96893,0.163887,-6.33841,3.69776,7.10791,8.21998,5.7575,5.83276,5.56713,3.86546,3.10433,3.25411,3.39998,3.36287,3.90237
Local currency in bn,156.584,231.361,232.265,210.678,238.856,305.531,446.072,330.27,431.47,530.168,544.585,557.341,602.367,695.301,626.612,545.43,557.307,598.006,657.501,740.798,667.797,603,663.442,696.408,697.549,653.336,677.495,725.65,785.298,830.512,878.954,927.886,963.753,993.672,1026.01,1060.89,1096.57,1139.36
US$ in bn,0.317236,0.468732,0.470565,0.426829,0.483918,0.618999,0.903734,0.669121,0.874151,1.07411,1.10332,1.12916,1.22038,1.40867,1.2695,1.10503,1.12909,1.21155,1.33208,1.50084,1.35294,1.22167,1.34412,1.41091,1.41322,1.32365,1.37259,1.47015,1.591,1.6826,1.78074,1.87988,1.95255,2.01316,2.07867,2.14934,2.22162,2.30832
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),5.24452,6.98618,9.20315,13.2278,17.4293,13.4682,18.0237,23.5213,29.3838,36.7479,34.1742,42.9202,47.9326,50.6501,55.3076,69.0118,92.6512,102.589,117.411,145.387,169.805,186.537,211.332,198.507,233.379,218.117,254.967,285.621,317.776,355.011,395.837,440.818,490.097,542.463,599.31,661.185,728.603,805.436
Percentage of GDP,8.51384,9.07296,9.60663,11.758,12.53,8.67799,10.2992,11.5301,12.809,13.8202,11.8908,13.9533,14.0937,14.1205,14.5969,16.5298,19.0915,19.0509,19.0078,19.5202,18.962,17.8984,17.5147,14.4779,14.813,12.4404,12.7634,12.6851,12.5651,12.4958,12.4134,12.3386,12.2674,12.2696,12.2799,12.305,12.3447,12.43
US$ in bn (Nominal),7.49218,8.06095,5.93751,4.21533,5.24701,4.01735,5.32437,6.93392,8.66401,10.8441,10.0868,12.6413,13.8053,12.7486,12.2915,11.7951,14.9528,17.7526,20.4793,25.7987,31.2572,33.6433,37.5906,33.459,38.5365,31.7476,36.0098,38.5941,41.2875,44.9565,48.88,53.1068,57.6317,62.1162,66.8237,71.787,77.0297,82.8291
Percentage growth,-100,11.8659,11.9188,23.7157,11.2886,-28.8007,23.2935,16.91,16.0691,12.2343,-11.1149,23.0628,6.14173,3.73187,6.66922,16.8529,20.2311,4.2543,6.59068,9.97431,4.09141,-1.18548,2.8824,-15.8703,4.56446,-14.253,4.81808,2.86562,3.01666,3.92284,4.69501,4.56668,4.39336,5.41441,5.21896,5.07081,4.94951,5.28136
Local currency in bn,59.9485,67.0619,75.0549,92.8547,103.337,73.5751,90.7133,106.053,123.095,138.154,122.799,151.12,160.401,166.387,177.484,207.395,249.353,259.961,277.094,304.733,317.2,313.44,322.475,271.297,283.68,243.247,254.967,262.274,270.186,280.784,293.967,307.392,320.897,338.272,355.926,373.974,392.484,413.212
US$ in bn,8.46673,9.47139,10.6003,13.1142,14.5946,10.3913,12.8118,14.9782,17.3851,19.512,17.3433,21.3431,22.654,23.4994,25.0666,29.2911,35.217,36.7152,39.135,43.0384,44.7993,44.2682,45.5442,38.3162,40.0652,34.3547,36.0099,37.0418,38.1592,39.6562,41.518,43.414,45.3214,47.7753,50.2686,52.8176,55.4319,58.3594
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.647088,0.803915,0.862311,0.951722,0.789417,1.94972,1.961,2.31254,2.31661,2.70518,2.59881,2.83503,4.58011,5.11758,5.39337,6.05108,7.5458,8.7124,14.2016,19.6277,25.6675,30.899,43.2854,63.1864,72.6933,80.9093,91.8985,100.279,111.412,124.874,140.649,157.521,176.992,198.415,223.615,252.679,285.762,323.094
Percentage of GDP,2.91876,3.44732,3.48549,3.47852,2.73438,5.26525,4.98602,4.91508,4.36931,4.93737,4.92012,4.99301,6.94693,7.60526,8.19164,8.33023,8.80182,8.27231,10.9058,11.5369,10.4497,9.31311,11.4267,12.4961,9.84204,9.48815,9.27636,8.77972,8.55207,8.40373,8.29847,8.14845,8.02706,7.91154,7.83917,7.78792,7.74206,7.70045
US$ in bn (Nominal),0.312603,0.388365,0.416575,0.459769,0.281683,0.389944,0.358829,0.375515,0.364724,0.403197,0.365211,0.356956,0.557377,0.605094,0.629497,0.70364,0.873804,1.0053,1.63262,2.18914,2.67377,2.62354,3.00393,3.73902,4.10585,4.34679,4.71227,4.91584,5.22144,5.59495,6.02466,6.45062,6.92921,7.42633,8.00144,8.64379,9.34566,10.0821
Percentage growth,-100,17.7177,3.85039,-7.32649,-28.197,117.818,-2.29629,4.64654,-0.06,16.5376,-3.80275,6.71503,47.5842,18.5576,9.33906,-0.480392,20.006,5.07736,46.1013,17.9196,0.34269,-3.02011,38.0851,21.5836,-14.3686,6.39244,5.66885,1.55816,3.54369,4.45628,4.96845,4.37836,4.71648,4.77013,5.32757,5.60492,5.6947,5.6673
Local currency in bn,6.52162,7.6771,7.9727,7.38858,5.30522,11.5557,11.2903,11.815,11.8078,13.7605,13.2372,14.1261,20.8479,24.7167,27.0251,26.8952,32.2759,33.9147,49.5498,58.4289,58.6291,56.8585,78.5131,95.4591,81.7429,86.9683,91.8984,93.3303,96.6377,100.944,105.959,110.599,115.815,121.34,127.804,134.967,142.653,150.738
US$ in bn,0.334409,0.393659,0.408816,0.378864,0.272036,0.592542,0.578936,0.605836,0.605467,0.705597,0.678765,0.724344,1.06902,1.2674,1.38576,1.37911,1.65501,1.73904,2.54077,2.99606,3.00633,2.91553,4.02592,4.89486,4.19153,4.45948,4.71228,4.7857,4.95529,5.17612,5.43329,5.67118,5.93866,6.22194,6.55342,6.92073,7.31484,7.7294
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),35.2071,42.0694,48.7079,67.1652,61.2597,56.7187,95.8482,131.511,135.623,177.2,154.768,189.239,186.822,157.657,145.431,151.521,161.572,189.067,172.604,161.207,204.014,196.369,207.75,200.083,217.592,216.684,236.978,236.868,256.572,276.669,296.28,315.704,335.753,359.584,385.276,417.111,452.54,494.126
Percentage of GDP,2.79581,2.85389,2.72305,3.99235,3.7494,3.35677,3.73207,4.81371,4.21842,5.16363,5.3013,5.97176,4.69111,4.13444,3.79589,3.87983,3.82295,3.69624,3.1249,2.68902,2.90441,3.45652,2.87925,2.25606,2.38809,2.27728,2.35313,2.393,2.36468,2.36225,2.3673,2.37771,2.38473,2.41324,2.45509,2.52373,2.59982,2.69461
US$ in bn (Nominal),0.118204,0.131875,0.178896,0.238082,0.231439,0.200306,0.172634,0.263471,0.265122,0.303596,0.262341,0.307355,0.262398,0.215073,0.208656,0.260704,0.305839,0.35844,0.330096,0.336359,0.455581,0.415868,0.41946,0.424021,0.426209,0.438596,0.480095,0.424243,0.44878,0.475744,0.503345,0.534188,0.565843,0.603585,0.645093,0.697281,0.755297,0.823385
Percentage growth,-100,17.8287,0.326324,55.5919,-8.98434,-6.93816,15.3085,35.3977,-9.1898,29.4305,6.2369,2.57299,-22.9244,-9.97164,-8.80712,3.9498,-0.362518,-4.07422,-17.0704,-8.49921,9.88178,16.2972,-11.4778,-16.2079,11.6665,0.6698,8.60519,5.76762,4.15313,4.6914,4.22274,3.70393,3.50485,4.23096,4.27787,5.36573,5.59014,6.26681
Local currency in bn,137.79,162.357,162.887,253.438,230.668,214.664,247.526,335.145,304.346,393.916,418.484,429.252,330.849,297.858,271.625,282.354,281.33,269.868,223.8,204.779,225.015,261.686,231.65,194.105,216.75,218.202,236.978,250.646,261.056,273.303,284.844,295.395,305.748,318.684,332.317,350.148,369.722,392.891
US$ in bn,0.27915,0.328919,0.329992,0.513441,0.467311,0.434889,0.501464,0.67897,0.616574,0.798035,0.847808,0.869622,0.670266,0.60343,0.550285,0.57202,0.569947,0.546726,0.453398,0.414862,0.455858,0.53015,0.4693,0.393237,0.439114,0.442055,0.480095,0.507785,0.528874,0.553685,0.577066,0.59844,0.619415,0.645622,0.673241,0.709365,0.749019,0.795959
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.318917,0.207465,0.268033,0.331813,0.319732,0.296715,0.762881,0.460271,0.816988,1.04148,1.00116,1.03545,1.09063,1.32428,1.51993,2.15463,2.49181,2.79932,3.53227,4.00517,4.07891,4.2073,4.60775,5.28655,5.5058,7.02234,5.01623,6.10369,7.27289,8.55479,9.94931,11.1985,12.4734,13.7955,15.1009,16.5212,18.0821,19.8687
Percentage of GDP,12.3418,6.68435,7.42676,8.23838,7.16771,6.15383,15.1855,8.7352,14.7379,17.2594,15.6549,14.5786,14.0426,13.9839,14.3053,14.8807,14.3364,15.6085,18.9044,20.1562,19.0312,17.5348,17.2817,19.8439,18.7773,21.4526,13.7548,15.022,15.932,16.8375,17.6774,18.0128,18.1636,18.1864,18.0223,17.8502,17.6866,17.583
US$ in bn (Nominal),0.05,0.03,0.03,0.04,0.04,0.03,0.08,0.05,0.08,0.102104,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.1,0.125857,0.161022,0.183797,0.157906,0.164492,0.179439,0.171643,0.195295,0.120434,0.135684,0.160074,0.186424,0.214666,0.239227,0.263823,0.288353,0.311917,0.337229,0.364736,0.389837
Percentage growth,-100,-42.8037,15.396,14.3499,-10.0465,-11.7371,147.757,-41.9681,72.4804,22.7588,-6.2347,-0.87751,1.61512,5.46985,-1.14416,11.2783,3.12837,9.15278,22.4772,10.4933,-0.166946,-1.9203,4.98727,9.85518,0.392532,20.6979,-32.3612,15.773,13.4818,12.0246,10.7628,7.19587,6.08059,5.33269,4.2505,4.19531,4.23615,4.64809
Local currency in bn,1.77982,1.01799,1.17472,1.3433,1.20834,1.06652,2.64237,1.53342,2.64484,3.24678,3.04435,3.01764,3.06638,3.2341,3.1971,3.55768,3.66897,4.00479,4.90495,5.41964,5.4106,5.3067,5.57136,6.12042,6.14445,7.41622,5.01624,5.80745,6.5904,7.38287,8.17747,8.76591,9.29893,9.79481,10.2111,10.6395,11.0902,11.6057
US$ in bn,0.04,0.02,0.03,0.03,0.03,0.03,0.06,0.04,0.06,0.08,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.117762,0.130119,0.129902,0.127407,0.133761,0.146944,0.147521,0.178054,0.120434,0.13943,0.158227,0.177254,0.196331,0.210459,0.223256,0.235162,0.245157,0.255442,0.266263,0.278639
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0.01,0.01,0.01,0.02,0.04,0.06,0.08,0.118462,0.09,0.117003,0.281358,0.522554,0.617278,0.725366,0.91765,1.2899,1.62997,2.12916,2.57954,3.08011,3.1875,4.04245,5.38183,6.37863,7.66836,8.98136,10.2768,11.5493,12.8202,13.9858,15.2244,16.7407,18.4167,20.2415,22.1726,24.3418
Percentage of GDP,1.89594,2.00187,1.99768,2.36351,2.61462,3.92698,4.46763,4.58165,4.396,5.23758,3.12424,3.54765,6.46592,8.56495,7.88298,6.84166,7.16776,8.27571,8.71407,9.19549,8.54757,8.41616,6.92302,6.75811,7.17969,6.82487,6.71277,6.638,6.61131,6.56955,6.54586,6.49604,6.44433,6.44921,6.45623,6.4394,6.39379,6.34966
US$ in bn (Nominal),0.159697,0.168391,0.1971,0.263581,0.286527,0.374931,0.388203,0.474355,0.487093,0.577862,0.374875,0.438213,0.516253,0.729824,0.779392,0.836639,1.02075,1.42374,1.77945,2.27718,2.43813,2.18603,2.22747,2.67358,2.99656,3.26439,2.64733,2.64092,2.93031,3.24583,3.56643,3.85509,4.15755,4.48542,4.84063,5.21832,5.60589,5.98597
Percentage growth,-100,4.74604,3.25067,24.4968,16.1152,58.7746,16.5693,7.53813,-0.598022,24.4509,-37.4719,18.6373,89.1481,37.6267,-3.8198,-8.7093,10.5794,22.3002,11.9716,12.3413,0.790466,2.39474,-11.1568,12.2675,15.5751,1.83934,4.26487,3.82724,4.97595,4.83376,4.72105,3.90311,3.66641,4.71693,4.76589,4.66782,4.31771,4.54849
Local currency in bn,0.5467,0.572647,0.591262,0.736102,0.854727,1.35709,1.58195,1.7012,1.69102,2.10449,1.3159,1.56115,2.95289,4.06396,3.90872,3.5683,3.94581,4.82573,5.40344,6.0703,6.11828,6.2648,5.56584,6.24864,7.22187,7.3547,7.66837,7.96186,8.35804,8.76204,9.17571,9.53384,9.88339,10.3496,10.8428,11.349,11.839,12.3775
US$ in bn,0.188736,0.197693,0.204119,0.254122,0.295075,0.468504,0.546131,0.587299,0.583787,0.726528,0.454284,0.538951,1.01942,1.40299,1.3494,1.23187,1.3622,1.66597,1.86541,2.09563,2.1122,2.16278,1.92148,2.1572,2.49318,2.53904,2.64733,2.74865,2.88542,3.02489,3.1677,3.29134,3.41201,3.57295,3.74324,3.91796,4.08713,4.27303
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),5.83475,5.09049,18.3148,16.925,23.5459,31.472,17.9668,37.8608,56.0617,58.3771,70.125,78.8299,108.359,207.406,139.266,201.061,261.326,438.194,669.232,899.984,1090.04,1154.88,1442.93,1575.06,1851.46,2108.34,2219.81,2431.12,2732.77,3050.3,3407.79,3831.48,4308.08,4802.43,5353.25,5980.09,6689.25,7493.49
Percentage of GDP,0.515847,0.353776,1.04032,0.744634,0.794737,1.00448,0.543781,1.03389,1.44321,1.40858,1.58003,1.64154,2.07089,3.75805,2.38915,2.93908,3.20342,4.09387,4.4337,5.18596,5.2455,5.21799,5.32086,4.66842,4.67655,4.64058,4.37393,4.28802,4.1171,4.10877,4.0672,4.06839,4.08946,4.1432,4.19368,4.25018,4.30948,4.36916
US$ in bn (Nominal),0.01,0.01,0.03,0.02,0.03,0.03,0.02,0.04,0.06,0.05,0.06,0.06,0.06,0.106332,0.07,0.101294,0.116459,0.12024,0.12998,0.214397,0.236878,0.240546,0.251993,0.236566,0.265138,0.29732,0.306894,0.329493,0.364197,0.399732,0.439128,0.485487,0.53677,0.585518,0.638645,0.698091,0.764091,0.836666
Percentage growth,-100,-28.6674,206.771,-26.5537,10.2147,32.7796,-43.7145,98.8662,45.8326,2.64752,16.262,7.85571,29.3183,88.1078,-33.1412,24.5492,11.5461,31.6236,11.0048,19.0243,6.1405,-0.802544,3.94804,-8.83456,4.12674,1.71175,-3.85314,1.39911,5.45082,5.9987,6.90753,7.58816,7.59789,6.6754,6.67015,6.89954,7.04276,7.19952
Local currency in bn,112.513,80.2584,246.21,180.832,199.304,264.634,148.951,296.213,431.975,443.411,515.519,556.017,719.031,1352.55,904.301,1126.3,1256.34,1653.64,1835.62,2184.84,2319,2300.39,2391.21,2179.95,2269.92,2308.77,2219.81,2250.87,2373.56,2515.94,2689.73,2893.83,3113.7,3321.55,3543.11,3787.56,4054.31,4346.2
US$ in bn,0.02,0.01,0.03,0.03,0.03,0.04,0.02,0.04,0.06,0.06,0.07,0.08,0.1,0.186993,0.125021,0.155713,0.173692,0.22862,0.253779,0.302058,0.320606,0.318033,0.330589,0.301383,0.31382,0.319192,0.306893,0.311187,0.328149,0.347834,0.371861,0.400078,0.430475,0.459211,0.489841,0.523638,0.560517,0.600871
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),13.1474,13.604,20.3925,25.1667,31.8383,45.9504,63.8838,72.1136,90.4556,115.889,131.562,150.707,104.819,100.279,93.2113,133.574,184.674,218.958,245.384,281.65,291.565,298.825,356.343,435.395,486.774,518.856,561.758,627.334,704.35,788.205,878.175,976.494,1078.33,1185,1299.47,1423.12,1561.64,1714.17
Percentage of GDP,7.62348,6.9506,9.14304,9.83953,10.5539,12.0751,13.9771,13.5769,11.5264,13.1915,13.5491,14.5901,9.51314,8.56683,7.87165,10.2843,12.6281,13.4761,13.1783,13.0918,11.7422,10.435,11.2435,11.6852,11.4407,10.906,10.5087,10.3768,10.3887,10.3861,10.3869,10.4165,10.4036,10.3798,10.3539,10.3194,10.2943,10.2609
US$ in bn (Nominal),0.740822,0.661269,0.889928,0.914888,0.988253,0.792231,1.13975,1.40218,1.58375,1.97319,2.17939,2.14297,1.37602,1.27641,1.18365,1.75905,2.33252,2.89803,3.40335,4.18389,4.21487,3.86318,4.4974,4.90251,5.75862,6.0246,6.38682,6.78151,7.26083,7.76487,8.28136,8.85831,9.56934,10.2131,10.8774,11.5701,12.332,13.1543
Percentage growth,-100,-4.67513,37.9527,8.47619,6.78525,14.7193,18.7317,1.40911,-11.4407,14.7549,6.15723,9.95055,-34.4634,-5.93397,-7.60313,34.497,29.0565,13.0116,3.9654,6.14946,-10.1003,-8.19401,16.8051,10.2911,2.26663,0.801292,0.98481,4.17749,6.12192,6.27284,6.00838,5.79987,5.07066,4.55929,4.33955,4.20123,4.40839,4.44139
Local currency in bn,164.911,157.202,216.864,235.246,251.208,288.184,342.165,346.987,307.289,352.629,374.342,411.591,269.743,253.736,234.444,315.321,406.942,459.891,478.128,507.53,456.268,418.882,489.275,539.627,551.858,556.28,561.759,585.226,621.053,660.011,699.667,740.246,777.782,813.243,848.534,884.183,923.161,964.163
US$ in bn,1.87494,1.78728,2.4656,2.67459,2.85607,3.27646,3.8902,3.94501,3.49368,4.00916,4.25602,4.67952,3.0668,2.88481,2.66548,3.58499,4.62666,5.22866,5.436,5.77028,5.18747,4.76241,5.56274,6.1352,6.27427,6.32454,6.38683,6.65364,7.06097,7.50389,7.95475,8.41611,8.84287,9.24604,9.64728,10.0526,10.4957,10.9619
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.06,0.149512,0.736194,0.753251,1.07214,1.12125,1.11147,0.884275,1.00106,1.15474,1.4104,2.38882,1.86541,2.16716,2.32824,2.59154,2.88617,3.06965,3.36861,3.67166,3.98455,4.34293,4.73105,5.14805,5.63684,6.17845,6.82194,7.39335
Percentage of GDP,1.28139,3.04928,3.76431,2.18378,2.16822,1.5667,1.43065,1.14154,0.906768,1.17194,1.43732,3.05311,13.7545,12.386,15.4874,15.2937,13.941,10.162,10.3463,10.2599,10.4697,16.4204,11.5614,11.8224,11.6072,11.9072,12.0861,11.8044,11.8398,11.7836,11.6767,11.6211,11.5597,11.4856,11.4833,11.4931,11.5763,11.4452
US$ in bn (Nominal),0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.106082,0.09,0.101714,0.148221,0.172062,0.139052,0.147833,0.1639,0.170726,0.281911,0.254795,0.29846,0.283587,0.268413,0.266081,0.273622,0.315834,0.351642,0.378017,0.403882,0.430523,0.458588,0.490993,0.525791,0.567492,0.602614
Percentage growth,-100,151.771,31.0418,-40.523,6.67709,-25.2659,-4.01744,-18.5929,-15.8981,33.8998,25.218,118.736,373.658,-6.14079,25.7052,3.38211,-6.75439,-25.1368,6.19944,3.85831,7.89539,62.481,-24.0548,6.07976,2.10461,6.07217,6.06747,1.96712,4.71272,4.00392,3.55148,4.00232,3.94733,3.83047,4.47931,4.58845,5.35804,3.41248
Local currency in bn,0.106065,0.267042,0.349936,0.208132,0.222029,0.165931,0.159265,0.129653,0.109041,0.146005,0.182825,0.399904,1.89418,1.77786,2.23486,2.31045,2.15439,1.61285,1.71283,1.77892,1.91937,3.11862,2.36844,2.51243,2.56531,2.72108,2.88618,2.94296,3.08165,3.20503,3.31886,3.45169,3.58794,3.72538,3.89225,4.07084,4.28896,4.43532
US$ in bn,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.04,0.174627,0.163904,0.206035,0.213004,0.198616,0.148691,0.157909,0.164001,0.17695,0.28751,0.21835,0.231625,0.2365,0.25086,0.266081,0.271315,0.284102,0.295477,0.305971,0.318216,0.330777,0.343448,0.358832,0.375297,0.395405,0.408898
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.235973,0.266518,0.296964,0.362471,0.332536,0.327223,0.385562,0.447502,0.541768,0.732469,0.667543,0.746607,1.03808,0.905613,1.63535,2.31154,2.77947,3.75621,2.26409,2.43429,2.94768,4.33012,4.34883,3.31892,5.55349,5.43968,5.43607,6.49411,7.48659,8.50789,9.48635,10.3036,11.0929,11.8673,12.7405,13.6474,14.6703,15.7571
Percentage of GDP,3.23065,3.28769,3.37324,3.75242,3.24047,3.26011,3.5966,3.78266,3.96466,4.78801,4.77534,4.78518,5.26831,4.3942,5.87328,6.81436,6.39754,6.31634,3.12948,3.07641,2.52721,5.01804,4.24123,6.67992,4.59463,5.02203,5.46436,4.93142,4.50267,4.26389,4.10063,3.97945,3.92337,3.90814,3.90626,3.89505,3.90055,3.92413
US$ in bn (Nominal),0.825755,0.889574,1.04869,1.29118,1.18108,1.07508,1.10677,1.07021,1.24031,1.58933,1.42767,1.60972,2.02674,1.49672,1.28699,1.78782,2.12991,2.87088,1.72361,1.92793,2.4091,3.45434,3.43295,2.7112,4.40173,4.27782,4.26333,4.63574,5.26708,5.9647,6.63839,7.20231,7.75305,8.19415,8.69059,9.19649,9.76593,10.344
Percentage growth,-100,9.09196,6.41908,28.6557,-15.9855,-3.17992,12.456,2.83799,7.04814,27.0624,-3.80741,0.957253,12.6708,-16.165,31.9888,31.065,-1.95237,8.89032,-47.1271,3.30493,-5.83176,97.0786,-11.8252,-38.9976,40.649,-5.45307,-2.0331,6.65635,7.74091,7.00729,5.78819,3.83814,3.52012,3.26376,3.62692,3.39635,3.75957,3.67595
Local currency in bn,2.36359,2.57849,2.744,3.53032,2.96598,2.87166,3.22936,3.32101,3.55508,4.51717,4.34518,4.38677,4.94261,4.14364,5.46914,7.16813,7.02818,7.65301,4.04637,4.1801,3.93633,7.75766,6.8403,4.17274,5.86892,5.54889,5.43607,5.79792,6.24673,6.68445,7.07136,7.34277,7.60125,7.84933,8.13402,8.41028,8.72647,9.04725
US$ in bn,1.85369,2.02223,2.15204,2.76872,2.32612,2.25215,2.53268,2.60456,2.78813,3.54267,3.40779,3.44041,3.87633,3.24972,4.28927,5.62174,5.51198,6.00201,3.17344,3.27832,3.08714,6.08408,5.36463,3.27255,4.60281,4.35182,4.26334,4.54712,4.89911,5.24241,5.54585,5.7587,5.96142,6.15598,6.37926,6.59592,6.8439,7.09548
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),28.5235,36.5533,44.4131,40.7814,52.2468,56.7938,97.0222,164.819,142.824,211.657,273.151,301.867,339.743,418.392,423.424,398.109,846.954,977.838,1405.85,1843.84,2103.32,2179.06,2702.91,2884.44,3357.53,3562.29,5113.24,5119.07,5324.27,5660.45,6122.64,6655.75,7276.21,7980.23,8767.03,9645.33,10602.1,11659.2
Percentage of GDP,4.14947,4.56289,4.82332,4.14951,4.67073,4.40194,5.3125,6.11413,4.40149,5.86274,6.71149,6.45457,6.47328,7.00989,7.0472,5.87303,10.3849,9.68886,11.8986,13.4003,13.0796,13.0254,14.8144,14.3978,15.4202,15.1843,19.6947,17.7317,16.7284,16.1926,15.9472,15.7841,15.7112,15.6892,15.6934,15.712,15.7099,15.6947
US$ in bn (Nominal),0.101356,0.113983,0.148623,0.1111,0.140151,0.14838,0.158153,0.193193,0.175838,0.207878,0.250993,0.240195,0.251011,0.317517,0.309885,0.321489,0.453193,0.48818,0.656235,0.983968,1.23119,1.11392,1.29329,1.42433,1.52965,1.61415,2.13537,2.0166,2.01677,2.08166,2.18605,2.30718,2.4488,2.6102,2.78683,2.97971,3.1831,3.40494
Percentage growth,-100,15.1508,8.87865,-19.6549,13.8793,-3.91444,21.0964,16.6983,-26.4549,38.4848,18.8113,0.611588,5.24686,14.7741,-12.2764,-8.57365,86.2501,-2.33652,28.9683,19.5227,4.65656,-4.50689,14.1167,-1.37153,10.2859,-0.521606,34.9028,-5.46881,-1.41276,1.24935,3.01484,3.53063,4.11632,4.45332,4.62862,4.77948,4.68585,4.73438
Local currency in bn,596.216,686.548,747.504,600.583,683.94,657.167,795.806,928.691,683.007,945.861,1123.79,1130.66,1189.99,1365.8,1198.13,1095.4,2040.19,1992.52,2569.72,3071.4,3214.42,3069.55,3502.87,3454.83,3810.19,3790.32,5113.24,4833.61,4765.32,4824.86,4970.32,5145.8,5357.62,5596.21,5855.24,6135.09,6422.57,6726.64
US$ in bn,0.248989,0.286713,0.312169,0.250812,0.285623,0.274443,0.33234,0.387836,0.285234,0.395006,0.469312,0.472182,0.496957,0.570378,0.500356,0.457457,0.852015,0.832107,1.07315,1.28266,1.34239,1.28189,1.46285,1.44279,1.59119,1.58289,2.13537,2.01859,1.99007,2.01493,2.07568,2.14896,2.23742,2.33706,2.44524,2.56211,2.68216,2.80915
